sensor_type,bacon_id,toast_id,sensor_channel,sensor_id,unixTS,isoTS,date,time,voltage,tsQuality
0,0x0400000000000113,0x060000000000006a,7,0,1603478857.02,2020-10-23 14:47:37,2020-10-23,14:47:37,0.0000,1.0000
0,0x0400000000000113,0x060000000000006a,8,0,1603478857.02,2020-10-23 14:47:37,2020-10-23,14:47:37,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,4,0,1600829153.40,2020-09-22 22:45:53,2020-09-22,22:45:53,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,5,0,1600829153.40,2020-09-22 22:45:53,2020-09-22,22:45:53,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,6,0,1600829153.40,2020-09-22 22:45:53,2020-09-22,22:45:53,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,7,0,1600829153.40,2020-09-22 22:45:53,2020-09-22,22:45:53,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,8,0,1600829153.40,2020-09-22 22:45:53,2020-09-22,22:45:53,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,4,0,1603136789.68,2020-10-19 15:46:29,2020-10-19,15:46:29,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,5,0,1603136789.68,2020-10-19 15:46:29,2020-10-19,15:46:29,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,6,0,1603136789.68,2020-10-19 15:46:29,2020-10-19,15:46:29,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,7,0,1603136789.68,2020-10-19 15:46:29,2020-10-19,15:46:29,0.0000,1.0000
0,0x040000000000011a,0x0600000000000069,8,0,1603136789.68,2020-10-19 15:46:29,2020-10-19,15:46:29,0.0000,1.0000
0,0x040000000000011d,0x0500000000000011,7,0,1601634900.44,2020-10-02 06:35:00,2020-10-02,06:35:00,0.0000,1.0000
0,0x040000000000011d,0x0500000000000011,8,0,1601634900.44,2020-10-02 06:35:00,2020-10-02,06:35:00,0.0000,1.0000
0,0x040000000000011d,0x0500000000000011,7,0,1603331144.64,2020-10-21 21:45:44,2020-10-21,21:45:44,0.0000,1.0000
0,0x040000000000011d,0x0500000000000011,8,0,1603331144.64,2020-10-21 21:45:44,2020-10-21,21:45:44,0.0000,1.0000
